source_id,ra_deg,dec_deg,gmag
3071827474151014784,128.23939720271,-03.58289171160,11.651925
3071829707533817088,128.08021946339,-03.57008552316,11.829563
3071829982411724928,128.00716404828,-03.59515987389,11.115767
3071831322441520256,128.11087641659,-03.54541446132,9.121909
3071833319601806592,128.33835262600,-03.55674090102,9.123632
3071835308171169408,128.30943402007,-03.44524185768,11.926478
3071839878016371712,128.31089561241,-03.40665059329,9.723055
3071846238863166208,128.75791090983,-03.37979753759,11.237239
3071846994777441024,128.61464923389,-03.45350642496,11.048135
3071852831636997248,128.84587532129,-03.31369844135,11.504975
3071854175962700416,128.89671117965,-03.29282480787,10.472311
3071856130171879040,128.80566505587,-03.27041003933,11.671289
3071863487451844608,128.57907710221,-03.26333641197,8.566000
3071867060864546560,128.50105973127,-03.20798525190,11.471918
3071867576260625280,128.43594247993,-03.21182134227,8.870754
3071871355831878912,128.81928712147,-03.12365666149,10.315595
3071871493270838016,128.78183351592,-03.11831176205,11.965489
3071873103883559168,128.55028723818,-03.16382919024,11.410101
3071874134675523328,128.52198891152,-03.14440626642,10.701405
3071877952901251840,129.44966655173,-03.49752043731,11.209252
3071878532722396288,129.31088650860,-03.51952832935,11.920125
3071880559946971264,129.42033124514,-03.44348956668,8.666530
3071885202806627968,129.30044035923,-03.35923696492,10.486433
3071885305886575872,129.34222648798,-03.34880926186,11.565061
3071887161311706880,129.49948263859,-03.36915805094,11.741920
3071890592990572800,129.48973314480,-03.31632317220,10.979763
3071892654574873088,129.54862140369,-03.25741768245,11.146366
3071895201490498048,129.20990392216,-03.37289888717,11.833249
3071896850757854976,129.21997966930,-03.30369878017,11.099336
3071897568017449216,129.31817994909,-03.30629275924,9.424437
3071897709751389952,129.33764475808,-03.27983171903,11.431858
3071899840055097600,129.18037247169,-03.29150146595,11.867897
3071904096367749120,129.41200952182,-03.23576195261,11.954515
3071904306821882368,129.42923943172,-03.21460148365,10.858259
3071904890937393280,129.34949575021,-03.19489148728,11.410581
3071907089959836032,129.44089061626,-03.11692693296,10.871300
3071908086392275840,129.30966517940,-03.18235418634,11.469674
3071910147977357696,129.38327481316,-03.12450093087,10.293165
3071914374224475776,129.71076298249,-03.16016177555,8.984879
3071920009221560192,129.77579986069,-03.03534339087,8.596245
3071920696415741440,129.71793917986,-03.03025001122,11.338658
3071921486690307072,129.87811370319,-03.09762964996,11.960881
3071921795927948032,129.93998605032,-03.07154771523,11.438637
3071922414403241344,129.88965356451,-03.05841960334,10.955145
3071924098030412800,130.05070993602,-02.98559975514,11.070401
3071924166749890176,130.02086316360,-02.99622514181,11.774932
3071931755956058880,129.58851172845,-03.02259687550,11.970902
3071931962114488576,129.52973551063,-03.01330193877,11.770153
3071943133325335936,129.63637223290,-02.90352167702,11.202753
3071943884943694848,129.69898776901,-02.83999444916,11.333701
3071945469787735808,129.74127809473,-02.80598698639,11.794912
3071947703170657920,129.05514611612,-03.24033132824,10.616519
3071949897898978944,129.14569011774,-03.17749473613,11.891683
3071950280151791104,129.15617477339,-03.17026619540,11.436749
3071951482741854848,129.11612124103,-03.10610489344,10.571868
3071951482741854976,129.11539345843,-03.10604131828,10.901816
3071955365392304640,129.00705467656,-03.06734294717,10.987184
3071956877220102784,129.24239752905,-03.09119975042,9.925840
3071959660359555840,129.26037131678,-03.00338843498,8.952599
3071962576641352448,129.12380590813,-02.94827953933,11.515380
3071965840817577856,128.92406706771,-03.06007140303,10.122474
3071966115694409088,128.90233956482,-03.04318946049,10.982113
3071966154350926592,128.87875485713,-03.04342671203,11.851617
3071967558803419520,128.96517937331,-03.01375412212,11.871279
3071970758554946944,128.73271100272,-02.99574324506,9.325664
3071974018434229376,129.02464798876,-02.95166767195,9.766260
3071975809436461696,129.04188449556,-02.85889385007,11.430933
3071991649276751232,129.57012979892,-02.80742338623,9.616064
3071992160376099712,129.59076051753,-02.76866019166,9.784946
3071995493270717568,129.65708229538,-02.65740852970,11.158871
3071999929972832896,129.57539768807,-02.57457136604,11.793163
3072004534177699328,129.27409716341,-02.64131514241,11.970011
3072008515611538432,129.15135923782,-02.58446343580,9.895435
3072013948746001152,129.30077873021,-02.55506461851,10.565587
3072015220056321536,129.27159000169,-02.51592417507,11.197146
3072015524998164352,129.26997425475,-02.48717514980,10.166928
3072015563653700224,129.28352229874,-02.48649120854,11.224964
3072020717614723584,130.90620028973,-03.44740925332,11.772659
3072023603832774272,130.65656882433,-03.43101970069,10.791718
3072026348315751680,130.79919877062,-03.31959907414,11.994760
3072028929592171392,131.05934716615,-03.34191125917,10.920680
3072032228127075200,130.83536503683,-03.31114272137,10.297339
3072034152272402304,130.99121438488,-03.21778753284,9.195010
3072036175200925824,130.67236079051,-03.36062595989,11.452518
3072039405016330240,130.67957402903,-03.26913827393,9.956485
3072044082236833152,130.57447222156,-03.17918134766,10.516139
3072048407267774336,130.84638632570,-03.10711956099,10.262947
3072048549002781568,130.86660200258,-03.08217003282,10.943962
3072048892600188288,130.70420552779,-03.17137094112,9.024252
3072049094462544896,130.69195547086,-03.16104937704,11.726264
3072056486102317952,131.17533351509,-03.14535438466,10.634591
3072060433176885120,131.18492756488,-03.05779704843,11.335497
3072063491193602048,131.26586220017,-03.03547967858,11.641104
3072065209180519936,131.36010512910,-03.00068879062,11.932774
3072066381706953984,131.22004066806,-03.03012490419,11.906244
3072067103261453568,131.24696284449,-03.00020941671,10.722665
3072067962254912512,131.22777781523,-02.96389403105,7.918539
3072069985184152064,131.25589424938,-02.90081341051,11.249494
3072074799843835392,131.02617974095,-02.96339988768,11.177828
3072075693195302144,130.90189078828,-03.01274923936,11.019411
3072076242951907328,130.80990080936,-03.00912111472,11.336139
3072078888651579136,130.90918899877,-02.88450092595,11.501725
3072080293105650688,131.15667469992,-02.91870773107,11.100636
3072093594619703680,130.36948979273,-03.12824808422,11.215725
3072098400687781632,130.58299747822,-03.05694697219,11.515248
3072098542422002304,130.53903303678,-03.04996267726,6.072664
3072105964125525888,130.24852498881,-03.10524497645,11.062294
